name,rating,genre,year,score,budget,gross,runtime
The Final Conflict,R,Horror,1981,5.6,5000000.0,20471382.0,108.0
Mommie Dearest,R,Biography,1981,6.7,5000000.0,19032261.0,129.0
Private Lessons,R,Comedy,1981,5.2,2800000.0,26279000.0,87.0
The Postman Always Rings Twice,R,Crime,1981,6.6,12000000.0,12376625.0,122.0
Ragtime,PG,Drama,1981,7.3,,14920781.0,155.0
Deadly Blessing,R,Horror,1981,5.6,2500000.0,8279042.0,100.0
Eyewitness,R,Crime,1981,6.0,8500000.0,6400000.0,103.0
Gallipoli,PG,Adventure,1981,7.4,,5732587.0,110.0
Outland,R,Action,1981,6.6,16000000.0,17374595.0,109.0
Southern Comfort,R,Action,1981,7.2,,,106.0
S.O.B.,R,Comedy,1981,6.4,12000000.0,14867086.0,122.0
The Beyond,R,Horror,1981,6.8,400000.0,123843.0,87.0
Ghost Story,R,Drama,1981,6.3,,23371905.0,110.0
My Bloody Valentine,R,Horror,1981,6.3,,5672031.0,90.0
The Funhouse,R,Horror,1981,5.9,,7886857.0,96.0
One from the Heart,R,Drama,1981,6.5,26000000.0,636796.0,107.0
The French Lieutenant's Woman,R,Drama,1981,7.0,,26890068.0,124.0
The Great Muppet Caper,G,Adventure,1981,7.2,,31206251.0,97.0
True Confessions,R,Crime,1981,6.3,10000000.0,12850276.0,108.0
Looker,PG,Drama,1981,6.1,8000000.0,,93.0
Nighthawks,R,Action,1981,6.4,5000000.0,19905359.0,99.0
Nice Dreams,R,Comedy,1981,6.2,,37000000.0,88.0
Sharky's Machine,R,Action,1981,6.3,,35610100.0,122.0
Neighbors,R,Comedy,1981,5.6,8500000.0,29916207.0,94.0
Puberty Blues,R,Comedy,1981,5.9,,237000.0,87.0
Eye of the Needle,R,Romance,1981,7.1,,17583634.0,112.0
Wolfen,R,Horror,1981,6.3,17000000.0,10626725.0,115.0
Student Bodies,R,Comedy,1981,5.5,,5165432.0,86.0
Prince of the City,R,Crime,1981,7.5,8600000.0,8124257.0,167.0
The Hand,R,Drama,1981,5.5,,2447576.0,104.0
Continental Divide,PG,Comedy,1981,6.2,,15578237.0,103.0
Diva,R,Music,1981,7.2,,110014.0,117.0
Venom,R,Horror,1981,5.8,,5229643.0,92.0
Fort Apache the Bronx,R,Crime,1981,6.7,,29200000.0,125.0
Eyes of a Stranger,R,Horror,1981,6.0,800000.0,1118634.0,84.0
Zorro: The Gay Blade,PG,Action,1981,6.2,,,93.0
Under the Rainbow,PG,Comedy,1981,5.4,20000000.0,18826490.0,98.0
Carbon Copy,PG,Comedy,1981,5.6,6000000.0,9566593.0,92.0
The Incredible Shrinking Woman,PG,Comedy,1981,5.5,,20259961.0,88.0
The Night the Lights Went Out in Georgia,PG,Drama,1981,6.0,,14923752.0,112.0
Quartet,R,Drama,1981,6.3,,12042.0,101.0
Graduation Day,R,Horror,1981,4.9,250000.0,,96.0
Modern Problems,PG,Comedy,1981,5.1,8000000.0,26154211.0,93.0
Pennies from Heaven,R,Drama,1981,6.5,22000000.0,9171289.0,108.0
American Pop,R,Animation,1981,7.2,1500000.0,,96.0
The Legend of the Lone Ranger,PG,Action,1981,5.1,18000000.0,12617845.0,98.0
Sphinx,PG,Adventure,1981,5.2,14000000.0,2022771.0,118.0
Night School,R,Horror,1981,5.6,,1169875.0,88.0
An Eye for an Eye,R,Action,1981,5.5,3800000.0,,106.0
Zoot Suit,R,Drama,1981,6.8,2700000.0,3256082.0,103.0
Rich and Famous,R,Drama,1981,5.9,,14492125.0,117.0
