title,Adjusted Budget,Adjusted Domestic,Adjusted International,Adjusted Worldwide
Cruel Intentions,16275000.0,60099366.75,58239143.550000004,118338510.3
Go,31000000.0,26262353.7,17837660.400000002,44100014.1
Lake Placid,54250000.0,49244141.7,38905000.0,88149141.7
Message in a Bottle,124000000.0,81964024.8,102300000.0,184264024.8
Varsity Blues,24800000.0,81985961.95,2170000.0,84155961.95
The Thirteenth Floor,24800000.0,18470824.55,10303511.85,28774336.400000002
The Insider,139500000.0,45089363.6,48360000.0,93449363.60000001
Forces of Nature,116250000.0,81996054.0,63550000.0,145546054.0
Inspector Gadget,139500000.0,150974823.6,57350000.0,208324823.6
The Corruptor,38750000.0,23504962.6,14460118.950000001,37965081.550000004
Big Daddy,53010000.0,253393682.25,110549255.0,363942937.25
The Ninth Gate,58900000.0,28925070.8,61597871.1,90522941.9
The World Is Not Enough,209250000.0,196762710.20000002,364077509.8,560840220.0
The General's Daughter,147250000.0,159194070.6,72850000.0,232044070.6
Austin Powers: The Spy Who Shagged Me,51150000.0,319362133.3,164264105.1,483626238.40000004
The Bone Collector,113150000.0,103103915.25,131711250.0,234815165.25
End of Days,155000000.0,103678016.65,224905000.0,328583016.65000004
Any Given Sunday,85250000.0,117072789.60000001,38285000.0,155357789.6
10 Things I Hate About You,46500000.0,59176157.300000004,23715000.0,82891157.3
Deep Blue Sea,93000000.0,114154620.10000001,141050000.0,255204620.1
Anywhere But Here,35650000.0,28939121.55,7690368.4,36629489.95
Double Jeopardy,108500000.0,180949414.9,94705000.0,275654414.90000004
The Messenger: The Story of Joan of Arc,131750000.0,22128291.35,81685000.0,103813291.35000001
Never Been Kissed,38750000.0,85985871.8,45090234.7,131076106.5
The Thomas Crown Affair,74400000.0,107423030.55,85250000.0,192673030.55
Random Hearts,99200000.0,48829003.65,66814279.85,115643283.5
The Virgin Suicides,13950000.0,7604654.95,8529879.4,16134534.35
She's All That,15500000.0,98218832.95,61690000.0,159908832.95000002
The Story of Us,77500000.0,42005048.050000004,49290000.0,91295048.05
Sleepy Hollow,155000000.0,156660828.1,162750000.0,319410828.1
Runaway Bride,108500000.0,235999138.95000002,243664313.65,479663452.6
Chill Factor,108500000.0,17459147.3,813300.5,18272447.8
Drive Me Crazy,13175000.0,27660272.35,7359511.600000001,35019783.95
Stuart Little,206150000.0,217054818.85,248155000.0,465209818.85
Black & White,18600000.0,8179813.45,409404.60000000003,8589218.05
The Limey,15500000.0,4967227.65,187663.15,5154890.8
Anna and the King,142600000.0,60858301.0,115836951.35000001,176695252.35
Music of the Heart,41850000.0,23032060.7,119370.15000000001,23151430.85
The Sixth Sense,62000000.0,454934752.6,587915000.0,1042849752.6
The Best Man,13950000.0,52859309.0,730050.0,53589359.0
The Haunting,124000000.0,141687284.05,133145000.0,274832284.05
"Girl, Interrupted",62000000.0,44814601.300000004,30128216.45,74942817.75
The Hurricane,77500000.0,78583823.55,36048350.0,114632173.55
Galaxy Quest,69750000.0,110955069.8,29605000.0,140560069.8
Blue Streak,100750000.0,106203726.15,76321948.85000001,182525675.0
Bicentennial Man,155000000.0,90246984.55,45260000.0,135506984.55
House on Haunted Hill,57350000.0,63311427.1,2708428.15,66019855.25
The Blair Witch Project,93000.0,217835603.45000002,167555000.0,385390603.45
Godzilla 2000,20150000.0,15557954.5,4474343.15,20032297.650000002
The Big Kahuna,10850000.0,4906593.2,873183.2000000001,5779776.4
Play It to the Bone,37200000.0,13072926.3,379232.3,13452158.6
Deuce Bigalow: Male Gigolo,26350000.0,101585070.25,42470000.0,144055070.25
Mission: Impossible II,187500000.0,323114833.5,496467328.5,819582162.0
X-Men,112500000.0,235949577.0,208559715.0,444509292.0
Return to Me,36000000.0,49084197.0,5830795.5,54914992.5
Dinosaur,191250000.0,206622094.5,318112053.0,524734147.5
The Adventures of Rocky & Bullwinkle,114000000.0,39008730.0,13693500.0,52702230.0
Scream 3,60000000.0,133714762.5,109036651.5,242751414.0
Duets,31500000.0,7108534.5,2821828.5,9930363.0
Pitch Black,34500000.0,58860988.5,20920500.0,79781488.5
Supernova,135000000.0,21345682.5,896439.0,22242121.5
The Yards,36000000.0,1334028.0,52026.0,1386054.0
Isn't She Great,66000000.0,4443697.5,61246.5,4504944.0
U-571,93000000.0,115683622.5,75816000.0,191499622.5
American Psycho,10500000.0,22605427.5,28794418.5,51399846.0
Nutty Professor II: The Klumps,126000000.0,184964835.0,64545000.0,249509835.0
Highlander: Endgame,37500000.0,19217787.0,4547625.0,23765412.0
Thirteen Days,120000000.0,51888133.5,47981701.5,99869835.0
High Fidelity,45000000.0,40930705.5,29758737.0,70689442.5
The Legend of Bagger Vance,120000000.0,46378752.0,12810388.5,59189140.5
Where the Money Is,42000000.0,8492697.0,2682924.0,11175621.0
All the Pretty Horses,85500000.0,23310529.5,3889713.0,27200242.5
Screwed,15000000.0,10541017.5,261534.0,10802551.5
My Dog Skip,9000000.0,51201961.5,2119680.0,53321641.5
The Flintstones in Viva Rock Vegas,124500000.0,52902412.5,36300000.0,89202412.5
The Art of War,90000000.0,45312898.5,15287739.0,60600637.5
Charlie's Angels,139500000.0,187958317.5,208200000.0,396158317.5
Lost Souls,75000000.0,25222879.5,21810985.5,47033865.0
Rules of Engagement,90000000.0,92002845.0,15595609.5,107598454.5
What Lies Beneath,150000000.0,233196526.5,203934000.0,437130526.5
Cast Away,135000000.0,350448213.0,294000000.0,644448213.0
Shaft,69000000.0,105501387.0,55937800.5,161439187.5
Hanging Up,90000000.0,54075345.0,23744721.0,77820066.0
The Beach,75000000.0,59677540.5,156407769.0,216085309.5
Bless the Child,97500000.0,44072241.0,16592274.0,60664515.0
Hollow Man,142500000.0,109814010.0,175506172.5,285320182.5
Under Suspicion,37500000.0,390843.0,1571520.0,1962363.0
Romeo Must Die,37500000.0,83960004.0,52595136.0,136555140.0
I Dreamed of Africa,75000000.0,9977283.0,11623207.5,21600490.5
How the Grinch Stole Christmas,184500000.0,390067237.5,127644867.0,517712104.5
Gun Shy,21000000.0,2457303.0,2469363.0,4926666.0
Keeping the Faith,43500000.0,55571820.0,34345954.5,89917774.5
Nurse Betty,52500000.0,37755081.0,6292402.5,44047483.5
Gladiator,154500000.0,281558140.5,409317799.5,690875940.0
Whipped,4500000.0,6239979.0,922534.5,7162513.5
Autumn in New York,97500000.0,56642872.5,79447129.5,136090002.0
Gossip,36000000.0,7663230.0,11223675.0,18886905.0
The Perfect Storm,210000000.0,273927651.0,219150000.0,493077651.0
What Planet Are You From?,90000000.0,9437403.0,11781112.5,21218515.5
Almost Famous,90000000.0,48802275.0,22273258.5,71075533.5
Boiler Room,10500000.0,25455871.5,17714511.0,43170382.5
Mission to Mars,150000000.0,91325110.5,75150000.0,166475110.5
Reindeer Games,63000000.0,35053492.5,13199962.5,48253455.0
Shanghai Noon,82500000.0,85406253.0,63505447.5,148911700.5
Snow Day,19500000.0,90030160.5,3666936.0,93697096.5
Wonder Boys,82500000.0,29090335.5,21049546.5,50139882.0
Battlefield Earth,109500000.0,32207527.5,12380967.0,44588494.5
Little Nicky,127500000.0,59197162.5,28241280.0,87438442.5
Drowning Mona,55500000.0,23260146.0,605010.0,23865156.0
Frequency,46500000.0,67515417.0,34643950.5,102159367.5
Space Cowboys,97500000.0,135697159.5,57629038.5,193326198.0
Bounce,52500000.0,55207932.0,24930006.0,80137938.0
Down to You,16500000.0,30103512.0,6526359.0,36629871.0
Gone in 60 Seconds,135000000.0,152472856.5,203330592.0,355803448.5
The Patriot,165000000.0,169995513.0,152946000.0,322941513.0
Price of Glory,27000000.0,5160342.0,162492.0,5322834.0
"Crouching Tiger, Hidden Dragon",25500000.0,192118308.0,128170296.0,320288604.0
Dungeons & Dragons,67500000.0,23087955.0,27880086.0,50968041.0
Vertical Limit,112500000.0,103865788.5,219630000.0,323495788.5
The Replacements,75000000.0,67105588.5,7976178.0,75081766.5
28 Days,64500000.0,55755732.0,37542685.5,93298417.5
The Little Vampire,52500000.0,20358600.0,21590197.5,41948797.5
The Skulls,52500000.0,52569180.0,23634000.0,76203180.0
Urban Legends: Final Cut,21000000.0,32203210.5,25658332.5,57861543.0
Saving Grace,15000000.0,18267903.0,24844092.0,43111995.0
Erin Brockovich,78000000.0,188392807.5,196014121.5,384406929.0
Final Destination,34500000.0,79996720.5,89323720.5,169320441.0
Here on Earth,22500000.0,15783252.0,526470.0,16309722.0
Where the Heart Is,22500000.0,50659257.0,10636320.0,61295577.0
The Crew,57000000.0,19534612.5,124167.0,19658779.5
Love & Basketball,30000000.0,41189422.5,402754.5,41592177.0
Red Planet,120000000.0,26221335.0,23974618.5,50195953.5
Coyote Ugly,67500000.0,91179403.5,79695307.5,170874711.0
Whatever It Takes,48000000.0,13118520.0,1734652.5,14853172.5
The Way of the Gun,12750000.0,9083491.5,10717966.5,19801458.0
Men of Honor,48000000.0,73228381.5,50286861.0,123515242.5
Boys and Girls,52500000.0,32699478.0,6076444.5,38775922.5
The Watcher,45000000.0,43419922.5,27481821.0,70901743.5
Bring It On,16500000.0,102568500.0,33106393.5,135674893.5
Dr. T & the Women,34500000.0,19669561.5,14596875.0,34266436.5
Woman on Top,12000000.0,7530166.5,7761244.5,15291411.0
What Women Want,105000000.0,274217560.5,286950000.0,561167560.5
Big Momma's House,45000000.0,176339157.0,84600000.0,260939157.0
The Contender,30000000.0,26809084.5,6834400.5,33643485.0
Get Carter,95400000.0,22450773.0,6668716.5,29119489.5
Memento,13500000.0,38317300.5,21267343.5,59584644.0
The Cell,49500000.0,92001088.5,64232676.0,156233764.5
Beautiful,21000000.0,4736022.0,18873.0,4754895.0
Center Stage,43500000.0,25801387.5,13777524.0,39578911.5
Remember the Titans,45000000.0,173482126.5,31577898.0,205060024.5
Bait,76500000.0,22987690.5,220263.0,23207953.5
Meet the Parents,82500000.0,249366067.5,246300000.0,495666067.5
Miss Congeniality,67500000.0,160211500.5,158902579.5,319114080.0
The 6th Day,123000000.0,51906420.0,92221795.5,144128215.5
Loser,30000000.0,23427939.0,4179120.0,27607059.0
Ready to Rumble,36000000.0,18591490.5,87052.5,18678543.0
Unbreakable,112500000.0,142517008.5,229660173.0,372177181.5
The Family Man,90000000.0,113689957.5,73427667.0,187117624.5
The Kid,97500000.0,104537923.5,60938446.5,165476370.0
Lucky Numbers,94500000.0,15063774.0,1271559.0,16335333.0
Timecode,7500000.0,1586625.0,560484.0,2147109.0
Proof of Life,97500000.0,48898396.5,45243111.0,94141507.5
The Crimson Rivers,21000000.0,892449.0,89263071.0,90155520.0
Book of Shadows: Blair Witch 2,22500000.0,39655641.0,31950000.0,71605641.0
Bedazzled,72000000.0,56830470.0,78744342.0,135574812.0
Pokémon 3 the Movie: Spell of the Unown,24000000.0,25578192.0,77038720.5,102616912.5
Chocolat,37500000.0,107264044.5,121785874.5,229049919.0
"Dude, Where's My Car?",19500000.0,70094700.0,39676384.5,109771084.5
Billy Elliot,7500000.0,32992894.5,130927500.0,163920394.5
Digimon: The Movie,7500000.0,14446729.5,10518057.0,24964786.5
Glitter,32120000.0,6240634.22,1455998.14,7696632.359999999
From Hell,51100000.0,46139746.36,62715101.54,108854847.89999999
The Lord of the Rings: The Fellowship of the Ring,135780000.0,460695335.0,835540590.96,1296235925.96
Heartbreakers,51100000.0,58891446.22,25432909.46,84324355.67999999
Driven,137240000.0,47771294.9,32156022.58,79927317.48
Planet of the Apes,146000000.0,262817140.4,266012000.0,528829140.4
Town & Country,131400000.0,9811160.58,5332384.28,15143544.86
Lara Croft: Tomb Raider,167900000.0,191505382.2,209561494.2,401066876.4
Behind Enemy Lines,58400000.0,85930913.39999999,48028761.519999996,133959674.92
Impostor,43800000.0,9176356.959999999,3517350.2399999998,12693707.2
What's the Worst That Could Happen?,87600000.0,47113957.64,9043673.62,56157631.26
Ghost World,10220000.0,9078059.54,3717390.6799999997,12795450.219999999
Jurassic Park III,135780000.0,264510937.5,273909043.64,538419981.14
Along Came a Spider,87600000.0,108154134.03999999,45406565.019999996,153560699.06
Bones,23360000.0,10682320.68,1550804.7,12233125.379999999
Monkeybone,109500000.0,7901518.54,3227134.36,11128652.9
Final Fantasy: The Spirits Within,200020000.0,46912471.8,77380000.0,124292471.8
15 Minutes,87600000.0,35629185.92,46656384.879999995,82285570.8
Hardball,46720000.0,58725184.339999996,5664303.6,64389487.94
The Caveman's Valentine,19710000.0,1003303.24,156639.02,1159942.26
A Knight's Tale,94900000.0,82591764.92,88939945.66,171531710.57999998
Sugar & Spice,39420000.0,19425447.46,5283243.6,24708691.06
Just Visiting,51100000.0,6981046.9399999995,16636981.78,23618028.72
